STATION,NAME,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,DATE_healdsburg,PRCP_healdsburg,TOBS_healdsburg,,,,,,,,,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES
USC00049124,"UKIAH 4 WSW, CA US",1/1/1980,,,,,3.6,",,0,0800",1/1/1980,0,11.7,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/2/1980,,,,,0.5,",,0,0800",1/2/1980,0,10.6,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/3/1980,,,,,0,",,0,0800",1/3/1980,0,10,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/4/1980,,,,,0,",,0,0800",1/4/1980,0.5,10,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/5/1980,,,,,0.8,",,0,0800",1/5/1980,0,10.6,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/6/1980,,,,,1,",,0,0800",1/6/1980,0,12.2,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/7/1980,,,,,0,",,0,0800",1/7/1980,0,12.2,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/8/1980,,,,,0,",,0,0800",1/8/1980,0,12.8,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/9/1980,,,,,4.6,",,0,0800",1/9/1980,2.8,9.4,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/10/1980,,,,,17.5,",,0,0800",1/10/1980,2,8.3,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/11/1980,,,,,10.9,",,0,0800",1/11/1980,33.3,12.8,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/12/1980,,,,,110.5,",,0,0800",1/12/1980,63.5,16.7,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/13/1980,,,,,61,",,0,0800",1/13/1980,61.7,15,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/14/1980,,,,,33.8,",,0,0800",1/14/1980,20.6,13.3,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/15/1980,,,,,20.1,",,0,0800",1/15/1980,7.4,11.1,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/16/1980,,,,,26.2,",,0,0800",1/16/1980,28.2,13.9,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/17/1980,,,,,5.8,",,0,0800",1/17/1980,3.3,10.6,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/18/1980,,,,,0,"T,,0,0800",1/18/1980,0,8.9,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/19/1980,,,,,0,",,0,0800",1/19/1980,0,10.6,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/20/1980,,,,,0,",,0,0800",1/20/1980,0,11.1,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/21/1980,,,,,0,",,0,0800",1/21/1980,0,12.8,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/22/1980,,,,,0,",,0,0800",1/22/1980,0,13.3,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/23/1980,,,,,0,",,0,0800",1/23/1980,0,12.8,,,,,,,,,0,",,0",0,",,0"
USC00049124,"UKIAH 4 WSW, CA US",1/24/1980,,,,,0,",,0,0800",1/24/1980,0,10.6,,,,,,,,,0,",,0",0,",,0"
